k,silhouette,davies_bouldin
2,0.3313799202442169,1.1641791149260243
3,0.32392576336860657,1.2454044283297336
4,0.32466399669647217,1.2392893408846304
5,0.3282430171966553,1.1791221192667742
6,0.3376743495464325,1.0958611990032947
7,0.30067771673202515,1.2997774076529838
8,0.30682164430618286,1.2156726132305373
9,0.29778194427490234,1.3267416737802324
10,0.26226523518562317,1.3880260114401872
11,0.26421305537223816,1.3711387918235571
12,0.28131312131881714,1.3869897611195983
13,0.2553911805152893,1.4665828431302435
14,0.26974809169769287,1.46756201171725
15,0.25559112429618835,1.3387853722146597
16,0.23014475405216217,1.439189585551607
17,0.24339896440505981,1.3566758941464927
18,0.2480984330177307,1.4005441394360816
19,0.22242093086242676,1.362040396370858
20,0.2657008469104767,1.3003708169016368
21,0.28531643748283386,1.2574879754364772
22,0.26011547446250916,1.2764417605131195
23,0.2664285898208618,1.2593550260157402
24,0.22253380715847015,1.4748930571026946
25,0.20495456457138062,1.3452593028444628
26,0.24291950464248657,1.1501669717763727
27,0.2503766119480133,1.2821553587157448
28,0.26150402426719666,1.242930916916865
29,0.23210594058036804,1.3234075733586008
30,0.22767756879329681,1.307360110633017
